scenario_id,work_id,description,expected_detector,actual_detector,expected_flag,actual_flag,expected_risk_behavior,expected_risk_change,actual_risk_change,expected_reason,actual_reason,explanation_ok,one_row_per_work_id,risk_score_in_range,pass
CLEAN_CONTROL,WS/MP1/2024-2025/25,Untouched valid project,NONE,NONE,False,False,no artificial risk,0.0,0.0,No injected anomaly,,True,True,True,True
FINANCIAL_ANOMALY,WS/MP1/2024-2025/25,Extreme but valid expenditure,FINANCIAL_ANOMALY,FINANCIAL_ANOMALY+COMPLIANCE,True,True,positive risk when evidence exists,> 0.0,14.0,Total expenditure is unusually high relative to peers,"Total expenditure exceeds sanction: total_expenditure exceeds sanction_amount. Total expenditure of ₹5,00,00,000 is unusually higher (modified z-score 7916.05) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing.",True,True,True,True
TIMELINE_ANOMALY,WS/MP1/2024-2025/25,Extreme lifecycle duration,TIMELINE_ANOMALY,TIMELINE_ANOMALY+COMPLIANCE,True,True,positive risk when evidence exists,> 0.0,10.0,Sanction-to-completion duration is unusually high,"Recommendation-to-completion duration of 1992 days is unusually higher (modified z-score 209.04) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing. Sanction-to-completion duration of 1972 days is unusually higher (modified z-score 209.04) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing. The standard one-year completion period was exceeded by a duration of 1972 days; exceptions or justification may exist and require review.",True,True,True,True
COMPLIANCE_VIOLATION,WS/MP1/2024-2025/25,Expenditure exceeds sanction,COMPLIANCE,FINANCIAL_ANOMALY+COMPLIANCE,True,True,positive risk when evidence exists,> 0.0,14.0,C08 expenditure exceeds sanction,"Total expenditure exceeds sanction: total_expenditure exceeds sanction_amount. Total expenditure of ₹12,00,000 is unusually higher (modified z-score 79.00) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing.",True,True,True,True
DUPLICATE_SIMILARITY,WS/MP1/2024-2025/25,Identical project descriptions,DUPLICATE,DUPLICATE,True,True,positive risk when evidence exists,> 0.0,12.0,Exact description match identifies the paired Work IDs,"Work description is an exact normalized match with WS/MP1/2024-2025/24 (this description also occurs in 2 project description(s) in the dataset); this is a potential similar-work / duplicate review candidate, not a confirmed duplicate.",True,True,True,True
MULTI_EVIDENCE,WS/MP1/2024-2025/25,"Independent financial, timeline, and compliance signals",RISK_FUSION,FINANCIAL_ANOMALY+TIMELINE_ANOMALY+COMPLIANCE,True,True,positive risk when evidence exists,> 0.0,24.0,"Risk reasons include financial, timeline, and compliance evidence","Total expenditure exceeds sanction: total_expenditure exceeds sanction_amount. Total expenditure of ₹5,00,00,000 is unusually higher (modified z-score 7916.05) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing. Recommendation-to-completion duration of 1992 days is unusually higher (modified z-score 209.04) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing.",True,True,True,True
MISSING_DATA,WS/MP1/2024-2025/25,Optional payment and expenditure fields removed,MISSING_DATA,NONE,False,False,no artificial risk,> 0.0,0.0,Missing measurements remain not evaluable,,True,True,True,True
ZERO_VALUE,WS/MP1/2024-2025/25,Legitimate zero payment values,ZERO_VALUE,FINANCIAL_ANOMALY,False,True,no artificial risk,> 0.0,20.0,Zero is retained as a value and is distinct from missing,"Amount disbursed of ₹0 is unusually lower (modified z-score -113.71) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing. In-progress-amount-to-sanction ratio of 0.00 is unusually lower (modified z-score -113.82) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing. Total expenditure of ₹0 is unusually lower (modified z-score -113.71) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing.",True,True,True,True
INVALID_DATE_ORDER,WS/MP1/2024-2025/25,Completion date precedes sanction date,COMPLIANCE,COMPLIANCE,True,True,positive risk when evidence exists,> 0.0,10.0,C05 chronology rule flags completion before sanction,Completion occurred before sanction.,True,True,True,True
RISK_EXPLANATION,WS/MP1/2024-2025/25,Known evidence requiring explanation,RISK_FUSION,FINANCIAL_ANOMALY+COMPLIANCE,True,True,positive risk when evidence exists,> 0.0,14.0,WHY-risky output names the expenditure anomaly,"Total expenditure exceeds sanction: total_expenditure exceeds sanction_amount. Total expenditure of ₹5,00,00,000 is unusually higher (modified z-score 7916.05) compared with peer projects grouped by state_work_category ('State A|Road'); this is a statistical review signal, not proof of wrongdoing.",True,True,True,True
